"","HHID","PN","OPN_SP","OLB018A","OLB018B","OLB018C","OLB018D","OLB018E","OLB018F","OLB018G","OLB018H","OLB018I","OLB018J","OLB004A","OLB004B","OLB004C","OLB004D","OLB004E","OLB004F","OLB004G","OLB005","OLB005A","OLB005B","respondent_id","spouse_id"
"1",10038,10,40,1,5,4,4,3,3,2,1,2,2,2,1,2,2,2,2,2,2,2,2,10038010,10038040
"2",10038,40,10,1,5,4,5,2,1,2,1,1,1,1,1,1,4,3,3,3,1,2,2,10038040,10038010
"3",10059,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10059020,10059030
"4",10059,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10059030,10059020
"5",10106,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10106010,10106020
"6",10106,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10106020,10106010
"7",10281,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10281010,10281020
"8",10281,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10281020,10281010
"9",10299,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10299010,10299012
"10",10451,10,20,3,5,5,6,1,1,1,1,2,1,2,1,1,2,3,4,3,1,2,2,10451010,10451020
"11",10451,20,10,3,6,6,5,2,6,2,2,2,1,2,2,2,2,2,3,3,2,2,2,10451020,10451010
"12",10453,10,20,4,4,6,6,1,4,NA,1,2,1,1,1,1,3,4,4,4,1,2,1,10453010,10453020
"13",10453,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,4,4,3,1,2,1,10453020,10453010
"14",10458,20,30,3,3,2,4,4,4,3,2,2,2,1,1,1,2,3,4,3,1,1,1,10458020,10458030
"15",10458,30,20,2,5,5,5,2,2,2,2,2,2,1,1,1,4,3,3,3,1,1,1,10458030,10458020
"16",10477,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10477010,10477020
"17",10477,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10477020,10477010
"18",10481,10,20,1,4,3,5,1,1,1,1,3,1,2,1,1,3,2,4,3,2,3,2,10481010,10481020
"19",10481,20,10,2,2,3,2,3,3,5,2,5,3,2,1,3,3,3,2,2,2,3,2,10481020,10481010
"20",10537,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10537010,10537011
"21",10537,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10537011,10537010
"22",10648,10,20,1,6,6,6,1,2,1,2,2,1,2,1,3,3,1,2,1,2,2,2,10648010,10648020
"23",10648,20,10,NA,4,3,4,2,1,4,1,2,2,3,2,3,3,2,3,2,2,3,2,10648020,10648010
"24",10773,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10773020,10773030
"25",10773,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10773030,10773020
"26",10818,10,40,4,6,4,3,4,4,3,1,4,5,3,1,3,2,1,4,2,2,2,2,10818010,10818040
"27",10818,40,10,1,6,6,6,1,1,1,1,1,1,2,1,1,4,3,3,4,1,1,1,10818040,10818010
"28",10822,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10822010,10822040
"29",10822,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10822040,10822010
"30",10929,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10929040,10929010
"31",10989,10,20,3,4,2,6,3,3,3,1,3,3,1,1,1,3,4,4,4,2,2,2,10989010,10989020
"32",10989,20,10,1,6,6,6,1,1,1,1,1,1,2,2,2,3,3,4,4,2,2,1,10989020,10989010
"33",11067,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11067020,11067030
"34",11067,30,20,1,5,4,6,1,1,1,1,5,1,1,1,2,3,3,4,4,1,1,1,11067030,11067020
"35",11071,10,20,1,5,5,5,1,2,5,2,2,3,1,1,1,4,4,4,3,1,2,2,11071010,11071020
"36",11071,20,10,2,2,5,5,2,2,3,3,3,2,2,1,1,2,2,4,3,1,3,2,11071020,11071010
"37",11141,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11141010,11141020
"38",11141,20,10,1,6,4,5,1,3,1,1,1,1,2,1,1,3,2,4,2,1,2,2,11141020,11141010
"39",11179,10,20,2,4,4,5,2,1,1,1,1,1,1,1,1,3,4,4,4,1,1,1,11179010,11179020
"40",11179,20,10,3,6,5,6,2,1,1,1,2,1,1,1,1,4,4,NA,4,NA,1,2,11179020,11179010
"41",11212,10,11,4,4,5,5,4,2,3,1,2,1,2,2,3,3,3,3,2,2,3,2,11212010,11212011
